# a combined early aftershock catalog following the Ms6.8 Dingri mainshock
# see the referece Yao et al., (2025), JES for more details
# yyy  mm dd hh mm ss.ss   lat     lon   D(km)   Ml   seqID
# mainshock listed in the CENC catalog           Ms
  2025 01 07 09 05 16.43 28.4890 87.5790 10.00  6.80     1
# aftershocks listed in the CENC catalog
  2025 01 07 09 09 12.15 28.8980 87.4890  8.00  4.60     2
  2025 01 07 09 11 42.46 28.9670 87.4750 10.00  4.40     3
  2025 01 07 09 14 41.21 28.5070 87.5090 10.00  5.10     4
  2025 01 07 09 24 25.15 28.4870 87.4880 10.00  4.40     5
  2025 01 07 09 31 57.89 28.8170 87.5300 10.00  4.30     6
  2025 01 07 09 33 49.35 28.9140 87.4460 10.00  3.20     7
  2025 01 07 09 35  0.52 28.7230 87.5200 10.00  3.60     8
  2025 01 07 09 35  5.20 29.0750 87.6760 10.00  3.90     9
  2025 01 07 09 37 12.47 28.7510 87.3470  9.00  4.30    10
  2025 01 07 09 41  1.94 28.8830 87.3760 17.00  3.40    11
  2025 01 07 09 43 47.93 28.4680 87.4910 23.00  4.20    12
  2025 01 07 09 59 47.44 28.8950 87.5250 10.00  3.90    13
  2025 01 07 10 01  6.74 28.8820 87.5160 10.00  3.90    14
  2025 01 07 10 02 13.52 28.7470 87.4590 10.00  3.40    15
  2025 01 07 10 04  7.48 28.8900 87.5050 10.00  3.60    16
  2025 01 07 10 20 37.03 28.9980 87.4840 10.00  2.90    17
  2025 01 07 10 21 18.54 28.8870 87.5420 10.00  3.00    18
  2025 01 07 10 22 43.81 28.7570 87.4630 10.00  3.40    19
  2025 01 07 10 27 27.73 28.5510 87.4940 10.00  3.80    20
  2025 01 07 10 30 46.52 28.5770 87.5330 10.00  2.90    21
  2025 01 07 10 32 38.20 28.4200 87.4420 10.00  3.70    22
  2025 01 07 10 34 50.62 28.5570 87.5130 25.00  3.90    23
  2025 01 07 10 36 22.01 28.9830 87.5400  5.00  3.10    24
  2025 01 07 10 39 46.27 29.1310 87.7880  8.00  2.10    25
  2025 01 07 10 41 19.07 28.9310 87.5060 10.00  3.20    26
  2025 01 07 10 45 19.61 28.8980 87.4970 10.00  3.20    27
  2025 01 07 10 46 13.68 29.0480 87.4420  3.00  2.70    28
  2025 01 07 10 47 26.18 28.8390 87.4450 10.00  3.10    29
  2025 01 07 10 49 18.50 28.4390 87.4560 45.00  3.60    30
  2025 01 07 10 52 56.62 28.7110 87.5420  7.00  2.90    31
  2025 01 07 10 54  4.16 28.9590 87.5670  6.00  2.70    32
  2025 01 07 11 00 45.19 28.4040 87.4020 55.00  3.00    33
  2025 01 07 11 02 40.01 28.8470 87.4690 30.00  2.80    34
  2025 01 07 11 06  2.94 28.8580 87.7000 12.00  2.20    35
  2025 01 07 11 06 58.53 28.8590 87.4990  5.00  3.30    36
  2025 01 07 11 07 48.60 28.4310 87.4230 28.00  2.90    37
  2025 01 07 11 08 51.13 28.7410 87.3340 36.00  2.80    38
  2025 01 07 11 09 53.57 28.8520 87.4870  2.00  2.80    39
  2025 01 07 11 12  2.33 28.9780 87.4710 10.00  3.50    40
  2025 01 07 11 13 22.89 28.5060 87.4700 10.00  2.90    41
  2025 01 07 11 15 38.78 29.0310 87.5050 10.00  2.70    42
  2025 01 07 11 15 58.57 28.9440 87.5310 10.00  3.20    43
  2025 01 07 11 17 51.79 28.9750 87.4470 10.00  3.30    44
  2025 01 07 11 19 34.17 28.8020 87.3810 18.00  3.70    45
  2025 01 07 11 27 30.10 28.9310 87.4320 10.00  3.80    46
  2025 01 07 11 34  3.87 28.6110 87.4600 10.00  2.90    47
  2025 01 07 11 36 18.28 28.9010 87.5010 10.00  2.90    48
  2025 01 07 11 41 10.28 28.9360 87.4490 24.00  3.70    49
  2025 01 07 11 45 54.18 28.7110 87.3760 10.00  3.80    50
  2025 01 07 11 48 10.02 28.9500 87.4520 10.00  3.30    51
  2025 01 07 11 52 42.67 28.9380 87.4580 10.00  3.50    52
  2025 01 07 12 02 55.16 28.9190 87.7090 10.00  2.50    53
  2025 01 07 12 03 25.48 28.8200 87.5130 24.00  2.90    54
  2025 01 07 12 04 16.51 28.9010 87.4520 20.00  3.10    55
  2025 01 07 12 09 23.80 28.9330 87.5200 10.00  2.40    56
  2025 01 07 12 11 38.99 28.7820 87.5270 24.00  2.60    57
  2025 01 07 12 14 53.78 28.9540 87.5110 10.00  2.50    58
  2025 01 07 12 16 47.46 28.8300 87.4560 17.00  2.30    59
  2025 01 07 12 19 53.07 28.4940 87.4520 10.00  2.40    60
  2025 01 07 12 20 48.49 28.8810 87.4730 10.00  2.40    61
  2025 01 07 12 25 13.68 28.7630 87.3490 10.00  2.80    62
  2025 01 07 12 26 30.27 28.9280 87.4850 10.00  2.40    63
  2025 01 07 12 28 29.25 28.8270 87.4250 10.00  2.90    64
  2025 01 07 12 29 31.73 28.8570 87.4860 10.00  2.40    65
  2025 01 07 12 30 49.16 28.8530 87.5240 10.00  3.10    66
  2025 01 07 12 32 17.33 28.8980 87.4890 10.00  2.40    67
  2025 01 07 12 34 17.31 28.9240 87.4620 10.00  3.10    68
  2025 01 07 12 38  1.05 28.5050 87.4590 10.00  3.40    69
  2025 01 07 12 42 58.86 28.5180 87.5220 10.00  3.10    70
  2025 01 07 12 44 23.17 28.5940 87.4770 10.00  3.20    71
  2025 01 07 12 49 17.86 28.9820 87.4790 10.00  2.60    72
  2025 01 07 12 56 30.69 28.8660 87.6740 10.00  2.80    73
  2025 01 07 12 58 52.95 28.7790 87.3510 10.00  3.00    74
  2025 01 07 12 59 32.29 28.5820 87.4830 10.00  3.40    75
  2025 01 07 13 03 55.23 28.8320 87.4250 10.00  3.00    76
  2025 01 07 13 11 11.42 28.6140 87.4200 10.00  3.40    77
  2025 01 07 13 17 34.66 28.9980 87.4630 10.00  2.40    78
  2025 01 07 13 18 16.92 28.9770 87.5300 10.00  2.50    79
  2025 01 07 13 24 14.54 28.7830 87.3570 10.00  2.80    80
  2025 01 07 13 26 57.84 28.5820 87.4330 10.00  3.50    81
  2025 01 07 13 33  2.73 29.2400 87.0560 28.00  1.90    82
  2025 01 07 13 33 39.82 28.9710 87.4040  6.00  2.60    83
  2025 01 07 13 37 18.31 28.8810 87.3370 26.00  2.50    84
  2025 01 07 13 37 59.25 28.7710 87.4890 25.00  2.40    85
  2025 01 07 13 38 51.78 28.9410 87.4170 27.00  2.30    86
  2025 01 07 13 40 14.10 28.7740 87.4420 25.00  2.40    87
  2025 01 07 13 41  1.95 28.8380 87.4130 26.00  2.40    88
  2025 01 07 13 45 16.42 28.9780 87.3850 25.00  2.50    89
  2025 01 07 13 47 49.10 28.8450 87.4870 27.00  2.70    90
  2025 01 07 13 48 44.70 28.7910 87.5300 25.00  3.10    91
  2025 01 07 13 52 55.20 28.7710 87.3680 27.00  2.80    92
  2025 01 07 13 53  8.72 28.6330 87.4180 24.00  3.50    93
  2025 01 07 13 57 14.40 28.7630 87.4800  8.00  3.90    94
  2025 01 07 14 01 17.03 28.4540 87.4490 10.00  2.90    95
  2025 01 07 14 03  3.81 28.9660 87.5230  6.00  3.10    96
  2025 01 07 14 03  5.14 28.9980 87.4650 10.00  3.20    97
  2025 01 07 14 04 26.09 29.1000 87.8680 29.00  2.30    98
  2025 01 07 14 06 39.20 28.8140 87.5070 10.00  2.80    99
  2025 01 07 14 07 55.34 28.9360 87.3590 10.00  2.80   100
  2025 01 07 14 09  9.93 28.5420 87.4970 10.00  3.30   101
  2025 01 07 14 12 21.94 28.3460 87.3320 10.00  2.90   102
  2025 01 07 14 14  6.43 28.7940 87.5440 10.00  3.00   103
  2025 01 07 14 15 39.76 28.9500 87.5200 10.00  3.10   104
  2025 01 07 14 21  5.90 28.8230 87.4870 10.00  2.10   105
  2025 01 07 14 24 44.23 28.6210 87.4930 10.00  3.10   106
  2025 01 07 14 25 37.90 28.5830 87.5060 10.00  3.40   107
  2025 01 07 14 29 33.18 28.9110 87.3090 10.00  2.40   108
  2025 01 07 14 35 41.73 28.9190 87.4440 10.00  2.70   109
  2025 01 07 14 38 59.77 29.1910 87.6630 10.00  2.20   110
  2025 01 07 14 41  5.79 28.8480 87.5160 10.00  2.80   111
  2025 01 07 14 50 36.64 28.5740 87.4560 10.00  2.90   112
  2025 01 07 14 50 37.65 28.5900 87.4960 10.00  2.90   113
  2025 01 07 14 56 26.06 28.6890 87.3960 10.00  2.60   114
  2025 01 07 15 04 31.96 28.7090 87.5380 23.00  3.80   115
  2025 01 07 15 08 11.40 28.8820 87.4640 10.00  2.70   116
  2025 01 07 15 09 45.04 28.6390 87.4510 10.00  2.70   117
  2025 01 07 15 27 26.11 28.9870 87.4910 10.00  3.10   118
  2025 01 07 15 31 53.69 28.8810 87.5410 20.00  2.40   119
  2025 01 07 15 34 42.86 28.4620 87.4960 24.00  2.60   120
  2025 01 07 15 36 34.37 28.5070 87.4250 22.00  3.40   121
  2025 01 07 15 40 18.28 28.8760 87.5010 10.00  3.20   122
  2025 01 07 15 48 52.64 28.9320 87.4690 10.00  3.10   123
  2025 01 07 15 53 23.41 28.8660 87.5980 10.00  2.90   124
  2025 01 07 15 54  8.24 28.4730 87.4680 10.00  4.40   125
  2025 01 07 15 58 34.82 28.9230 87.4480 10.00  3.00   126
  2025 01 07 16 00 22.51 28.7240 87.5040 10.00  2.60   127
  2025 01 07 16 01 45.36 28.6270 87.4880 30.00  2.50   128
  2025 01 07 16 05  4.22 28.7560 87.5650 31.00  2.50   129
  2025 01 07 16 07  0.97 28.9150 87.5610 30.00  2.60   130
  2025 01 07 16 13 47.35 28.9190 87.5190 19.00  2.80   131
  2025 01 07 16 19 33.08 28.4540 87.5300 10.00  2.90   132
  2025 01 07 16 34 34.57 28.7780 87.3760 12.00  2.50   133
  2025 01 07 16 38 30.16 28.8600 87.5160  5.00  2.90   134
  2025 01 07 16 49 47.51 28.4810 87.4520 14.00  2.80   135
  2025 01 07 16 53 38.94 28.5130 87.4770 10.00  2.90   136
  2025 01 07 16 59 25.60 28.9650 87.4510 10.00  2.50   137
  2025 01 07 17 05 22.09 28.7840 87.5510 20.00  2.30   138
  2025 01 07 17 08 10.53 28.7740 87.4090 10.00  2.50   139
  2025 01 07 17 10 33.51 28.9640 87.4320 27.00  2.80   140
  2025 01 07 17 12 56.16 28.8550 87.6520 25.00  2.30   141
  2025 01 07 17 21 30.79 28.7080 87.3730 27.00  3.30   142
  2025 01 07 17 24 42.84 28.6740 87.4640 10.00  3.00   143
  2025 01 07 17 27 37.57 28.7360 87.5210 20.00  2.70   144
  2025 01 07 17 30 49.07 28.7490 87.3500 25.00  3.00   145
  2025 01 07 17 32 22.80 28.7290 87.3360 30.00  2.40   146
  2025 01 07 17 36 42.39 28.7800 87.5240 10.00  2.50   147
  2025 01 07 17 41 23.57 28.9380 87.4920 25.00  2.10   148
