# t_decimal_year  t_day  magnitude
0.000000000000000000e+00 0.000000000000000000e+00 6.799999999999999822e+00
7.478542287607274588e-06 2.731481481481399902e-03 4.599999999999999645e+00
1.223185306362895779e-05 4.467592592592499641e-03 4.400000000000000355e+00
1.790413725634831590e-05 6.539351851851799707e-03 5.099999999999999645e+00
3.641036054432629954e-05 1.329861111111109787e-02 4.400000000000000355e+00
5.073367034940484791e-05 1.853009259259250086e-02 4.299999999999999822e+00
5.428280906216773858e-05 1.982638888888879972e-02 3.200000000000000178e+00
5.653270949615145938e-05 2.064814814814809954e-02 3.600000000000000089e+00
5.669115318868559638e-05 2.070601851851849862e-02 3.899999999999999911e+00
6.071562297905063377e-05 2.217592592592590103e-02 4.299999999999999822e+00
6.797234409711028105e-05 2.482638888888880069e-02 3.399999999999999911e+00
7.323267468924097852e-05 2.674768518518510010e-02 4.200000000000000178e+00
1.036538636557799272e-04 3.785879629629620297e-02 3.899999999999999911e+00
1.061572739978181615e-04 3.877314814814809829e-02 3.899999999999999911e+00
1.082804194777746187e-04 3.954861111111109689e-02 3.399999999999999911e+00
1.118929356675509989e-04 4.086805555555549779e-02 3.600000000000000089e+00
1.432647867892942138e-04 5.232638888888879042e-02 2.899999999999999911e+00
1.445640250680736683e-04 5.280092592592589701e-02 3.000000000000000000e+00
1.472575678411526556e-04 5.378472222222219906e-02 3.399999999999999911e+00
1.562571695770869967e-04 5.707175925925919713e-02 3.799999999999999822e+00
1.625632285399426216e-04 5.937499999999999722e-02 2.899999999999999911e+00
1.661123672527055394e-04 6.067129629629630649e-02 3.700000000000000178e+00
1.702952807356044088e-04 6.219907407407399696e-02 3.899999999999999911e+00
1.732106446782310225e-04 6.326388888888880013e-02 3.100000000000000089e+00
1.826222000147542852e-04 6.670138888888889339e-02 3.200000000000000178e+00
1.902274972563888496e-04 6.947916666666660579e-02 3.200000000000000178e+00
1.919386891357566564e-04 7.010416666666660634e-02 2.700000000000000178e+00
1.942519670467538666e-04 7.094907407407399780e-02 3.100000000000000089e+00
1.978011057595167302e-04 7.224537037037029319e-02 3.600000000000000089e+00
2.047092507540017856e-04 7.476851851851849806e-02 2.899999999999999911e+00
2.068640849724648725e-04 7.555555555555550085e-02 2.700000000000000178e+00
2.195712691136962548e-04 8.019675925925920379e-02 3.000000000000000000e+00
