# t_day  lambda(t)  mu(t)=mu_ref*q_mu  q_mu(t)  q_K0(t)  K0(t)=K0_ref*q_K0
0.000000000000000000e+00 3.641974869025954149e+02 3.641974869025954149e+02 3.641974869025954104e+04 6.054412981430176179e-03 1.210882596286035317e-04
1.881623693810672085e-02 4.291471135739403735e+02 3.592461752412902456e+02 3.592461752412902570e+04 6.409755827955302895e-03 1.281951165591060644e-04
3.763247387621344170e-02 3.948656093872215820e+02 3.543622499341535104e+02 3.543622499341535149e+04 6.785921290207131210e-03 1.357184258041426274e-04
5.644871081432016602e-02 3.793515149920938256e+02 3.495448645281737186e+02 3.495448645281737117e+04 7.184092664775609989e-03 1.436818532955122063e-04
7.526494775242688340e-02 3.690760280340893473e+02 3.447931811963595123e+02 3.447931811963595101e+04 7.605516208290102713e-03 1.521103241658020629e-04
9.408118469053360078e-02 3.610170478906902645e+02 3.401063706995332723e+02 3.401063706995332905e+04 8.051504089438228651e-03 1.610300817887645849e-04
1.128974216286403320e-01 3.537776376038896728e+02 3.354836123469779636e+02 3.354836123469779704e+04 8.523437445186550845e-03 1.704687489037310299e-04
1.317136585667470494e-01 3.467898948590863597e+02 3.309240939559632579e+02 3.309240939559632534e+04 9.022769541930878573e-03 1.804553908386175660e-04
1.505298955048537668e-01 3.407662988621736417e+02 3.264270118102179481e+02 3.264270118102179185e+04 9.551029042005500583e-03 1.910205808401100290e-04
1.693461324429604842e-01 3.350889101857801506e+02 3.219915706173594003e+02 3.219915706173593935e+04 1.010982337564946681e-02 2.021964675129893406e-04
1.881623693810672016e-01 3.297166468745986663e+02 3.176169834653421731e+02 3.176169834653421640e+04 1.070084221816296373e-02 2.140168443632592757e-04
2.069786063191739189e-01 3.255404952012460740e+02 3.133024717779573507e+02 3.133024717779573621e+04 1.132586107158553568e-02 2.265172214317107222e-04
2.257948432572806641e-01 3.199439680954351388e+02 3.090472652694101612e+02 3.090472652694101635e+04 1.198674494978873607e-02 2.397348989957747334e-04
2.446110801953873815e-01 3.149396190655689907e+02 3.048506018980341992e+02 3.048506018980342196e+04 1.268545216539653311e-02 2.537090433079306666e-04
2.634273171334940988e-01 3.102267948513531906e+02 3.007117278191584546e+02 3.007117278191584410e+04 1.342403821642610372e-02 2.684807643285220548e-04
2.822435540716007885e-01 3.058078653382034418e+02 2.966298973371742136e+02 2.966298973371742250e+04 1.420465976997710780e-02 2.840931953995421604e-04
3.010597910097075336e-01 3.018143747076364320e+02 2.926043728568362212e+02 2.926043728568362349e+04 1.502957873968744328e-02 3.005915747937488482e-04
3.198760279478142787e-01 2.971377672911702348e+02 2.886344248338268699e+02 2.886344248338268517e+04 1.590116645301631673e-02 3.180233290603263650e-04
3.386922648859209684e-01 2.928350950061981166e+02 2.847193317246216111e+02 2.847193317246216247e+04 1.682190790370928501e-02 3.364381580741857328e-04
3.575085018240277135e-01 2.886724063754731446e+02 2.808583799356944724e+02 2.808583799356944655e+04 1.779440608404288596e-02 3.558881216808577235e-04
3.763247387621344031e-01 2.846619029480785912e+02 2.770508637720761840e+02 2.770508637720761544e+04 1.882138639063787519e-02 3.764277278127575233e-04
3.951409757002411482e-01 2.808034282106731894e+02 2.732960853853230105e+02 2.732960853853230219e+04 1.990570109676711302e-02 3.981140219353422453e-04
4.139572126383478379e-01 2.768853916140795945e+02 2.695933547209078256e+02 2.695933547209078461e+04 2.105033388316727289e-02 4.210066776633454425e-04
4.327734495764545830e-01 2.731519522473208212e+02 2.659419894650690139e+02 2.659419894650689821e+04 2.225840441839037342e-02 4.451680883678075010e-04
4.515896865145613281e-01 2.693364414552845574e+02 2.623413149911538653e+02 2.623413149911538494e+04 2.353317297870088573e-02 4.706634595740177471e-04
4.704059234526680178e-01 2.667680944833439298e+02 2.587906643054713527e+02 2.587906643054713277e+04 2.487804509643785911e-02 4.975609019287572385e-04
4.892221603907747629e-01 2.618500800391589678e+02 2.552893779926996842e+02 2.552893779926996649e+04 2.629657622461567187e-02 5.259315244923135025e-04
5.080383973288814525e-01 2.583296676743908620e+02 2.518368041608631813e+02 2.518368041608631756e+04 2.779247640433512787e-02 5.558495280867025920e-04
5.268546342669881977e-01 2.553221827135308502e+02 2.484322983859103715e+02 2.484322983859103624e+04 2.936961492031610332e-02 5.873922984063220621e-04
5.456708712050949428e-01 2.518265777727615102e+02 2.450752236559200981e+02 2.450752236559200901e+04 3.103202492854544720e-02 6.206404985709089439e-04
5.644871081432015769e-01 2.480694157856470383e+02 2.417649503149646364e+02 2.417649503149646262e+04 3.278390803866151199e-02 6.556781607732302657e-04
5.833033450813083221e-01 2.444718941404890984e+02 2.385008560066459893e+02 2.385008560066459904e+04 3.462963883226816142e-02 6.925927766453632674e-04
6.021195820194150672e-01 2.418585249018084653e+02 2.352823256173401205e+02 2.352823256173401023e+04 3.657376929689144102e-02 7.314753859378288810e-04
6.209358189575218123e-01 2.388170217948678840e+02 2.321087512191703297e+02 2.321087512191703354e+04 3.862103315376110707e-02 7.724206630752221241e-04
6.397520558956285575e-01 2.349494288294924047e+02 2.289795320127260823e+02 2.289795320127260857e+04 4.077635005602189139e-02 8.155270011204378625e-04
6.585682928337351916e-01 2.316228912219284268e+02 2.258940742695630206e+02 2.258940742695630252e+04 4.304482963235706922e-02 8.608965926471414233e-04
6.773845297718419367e-01 2.282731808969037672e+02 2.228517912744962928e+02 2.228517912744962814e+04 4.543177534934643436e-02 9.086355069869286524e-04
6.962007667099486818e-01 2.258544077189827703e+02 2.198521032677136873e+02 2.198521032677136827e+04 4.794268816418430917e-02 9.588537632836862182e-04
7.150170036480554270e-01 2.231651199254497442e+02 2.168944373867284696e+02 2.168944373867284594e+04 5.058326993765797225e-02 1.011665398753159532e-03
7.338332405861620611e-01 2.195107232311778773e+02 2.139782276081951977e+02 2.139782276081951932e+04 5.335942657553928437e-02 1.067188531510785635e-03
7.526494775242688062e-01 2.162467333690597400e+02 2.111029146896016755e+02 2.111029146896016755e+04 5.627727086477703200e-02 1.125545417295540718e-03
7.714657144623755514e-01 2.132501687730265303e+02 2.082679461108707244e+02 2.082679461108707255e+04 5.934312496910594537e-02 1.186862499382118890e-03
7.902819514004822965e-01 2.121915872665543361e+02 2.054727760158706360e+02 2.054727760158706224e+04 6.256352254691707748e-02 1.251270450938341645e-03
8.090981883385890416e-01 2.086757108905076450e+02 2.027168651538762845e+02 2.027168651538762788e+04 6.594521045247106472e-02 1.318904209049421303e-03
8.279144252766956757e-01 2.052565577422704735e+02 1.999996808209773747e+02 1.999996808209773735e+04 6.949514997979758246e-02 1.389902999595951736e-03
8.467306622148024209e-01 2.025243683773936425e+02 1.973206968014672498e+02 1.973206968014672384e+04 7.322051760691247746e-02 1.464410352138249523e-03
8.655468991529091660e-01 1.996014392268862707e+02 1.946793933092221209e+02 1.946793933092221050e+04 7.712870519632293587e-02 1.542574103926458700e-03
8.843631360910159112e-01 1.976197033189186243e+02 1.920752569290889085e+02 1.920752569290889005e+04 8.122731960618166658e-02 1.624546392123633410e-03
9.031793730291226563e-01 1.944109503144605640e+02 1.895077805582961048e+02 1.895077805582961082e+04 8.552418166491886076e-02 1.710483633298377337e-03
9.219956099672292904e-01 1.915946020259771103e+02 1.869764633479107943e+02 1.869764633479107943e+04 9.002732446073127837e-02 1.800546489214625498e-03
9.408118469053360355e-01 1.891778417390607672e+02 1.844808106443427960e+02 1.844808106443427823e+04 9.474499089596617740e-02 1.894899817919323652e-03
9.596280838434427807e-01 1.865020183261258637e+02 1.820203339309291550e+02 1.820203339309291550e+04 9.968563045521225408e-02 1.993712609104245255e-03
9.784443207815495258e-01 1.842885760798997694e+02 1.795945507695982144e+02 1.795945507695982087e+04 1.048578951348266564e-01 2.097157902696533075e-03
9.972605577196561599e-01 1.820291724393904360e+02 1.772029847426318270e+02 1.772029847426318156e+04 1.102706344806999444e-01 2.205412689613999062e-03
1.016076794657762905e+00 1.868608359838800936e+02 1.748451653945471946e+02 1.748451653945471844e+04 1.159328896803096115e-01 2.318657793606192490e-03
1.034893031595869539e+00 1.840422120498780600e+02 1.725206281740966290e+02 1.725206281740966369e+04 1.218538866545632454e-01 2.437077733091264943e-03
1.053709268533976395e+00 1.780071175213125514e+02 1.702289143764110122e+02 1.702289143764110122e+04 1.280430280945976107e-01 2.560860561891952110e-03
1.072525505472083029e+00 1.747859581705917265e+02 1.679695710852933530e+02 1.679695710852933553e+04 1.345098843886089190e-01 2.690197687772178260e-03
1.091341742410189886e+00 1.716604508918836700e+02 1.657421511156734368e+02 1.657421511156734414e+04 1.412641833839637651e-01 2.825283667679275197e-03
1.110157979348296520e+00 1.715858008845657992e+02 1.635462129562402822e+02 1.635462129562402697e+04 1.483157989302933966e-01 2.966315978605867966e-03
1.128974216286403154e+00 1.740124954528122032e+02 1.613813207122560698e+02 1.613813207122560743e+04 1.556747381500494243e-01 3.113494763000988416e-03
1.147790453224510010e+00 1.700017969914734124e+02 1.592470440485692507e+02 1.592470440485692598e+04 1.633511273840927702e-01 3.267022547681855665e-03
1.166606690162616644e+00 1.661710685010745294e+02 1.571429581328352469e+02 1.571429581328352469e+04 1.713551967613517191e-01 3.427103935227034624e-03
1.185422927100723500e+00 1.648313453359076277e+02 1.550686435789495192e+02 1.550686435789495226e+04 1.796972633434195388e-01 3.593945266868390966e-03
1.204239164038830134e+00 1.607343069088634877e+02 1.530236863907119584e+02 1.530236863907119550e+04 1.883877127972027887e-01 3.767754255944055775e-03
1.223055400976936768e+00 1.579816278890209560e+02 1.510076779057242788e+02 1.510076779057242857e+04 1.974369795513991055e-01 3.948739591027982353e-03
1.241871637915043625e+00 1.629448700782448043e+02 1.490202147395330314e+02 1.490202147395330394e+04 2.068555253956948503e-01 4.137110507913896972e-03
1.260687874853150259e+00 1.614970260722637079e+02 1.470608987300254284e+02 1.470608987300254194e+04 2.166538164851548320e-01 4.333076329703096363e-03
1.279504111791257115e+00 1.547899876673075994e+02 1.451293368820881540e+02 1.451293368820881551e+04 2.268422987163461191e-01 4.536845974326922382e-03
1.298320348729363749e+00 1.537220792896860360e+02 1.432251413125339639e+02 1.432251413125339604e+04 2.374313714463090752e-01 4.748627428926181955e-03
