# index  t_day  tau(t)  Ncum
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.000000000000000000e+00 2.731481481481399902e-03 2.163910287821148692e+00 2.000000000000000000e+00
3.000000000000000000e+00 4.467592592592499641e-03 3.171899227968407509e+00 3.000000000000000000e+00
4.000000000000000000e+00 6.539351851851799707e-03 4.262346835959315072e+00 4.000000000000000000e+00
5.000000000000000000e+00 1.329861111111109787e-02 7.476274836547926128e+00 5.000000000000000000e+00
6.000000000000000000e+00 1.853009259259250086e-02 9.768656759980009596e+00 6.000000000000000000e+00
7.000000000000000000e+00 1.982638888888879972e-02 1.032312361182338023e+01 7.000000000000000000e+00
8.000000000000000000e+00 2.064814814814809954e-02 1.067170125915867906e+01 8.000000000000000000e+00
9.000000000000000000e+00 2.070601851851849862e-02 1.069619934872062927e+01 9.000000000000000000e+00
1.000000000000000000e+01 2.217592592592590103e-02 1.131599856131623127e+01 1.000000000000000000e+01
1.100000000000000000e+01 2.482638888888880069e-02 1.242260060902591512e+01 1.100000000000000000e+01
1.200000000000000000e+01 2.674768518518510010e-02 1.321448429320809659e+01 1.200000000000000000e+01
1.300000000000000000e+01 3.785879629629620297e-02 1.768183880190340673e+01 1.300000000000000000e+01
1.400000000000000000e+01 3.877314814814809829e-02 1.804289036017996395e+01 1.400000000000000000e+01
1.500000000000000000e+01 3.954861111111109689e-02 1.834879379748463890e+01 1.500000000000000000e+01
1.600000000000000000e+01 4.086805555555549779e-02 1.886752702848029273e+01 1.600000000000000000e+01
1.700000000000000000e+01 5.232638888888879042e-02 2.330080245548463580e+01 1.700000000000000000e+01
1.800000000000000000e+01 5.280092592592589701e-02 2.348208120003501875e+01 1.800000000000000000e+01
1.900000000000000000e+01 5.378472222222219906e-02 2.385744201700899936e+01 1.900000000000000000e+01
2.000000000000000000e+01 5.707175925925919713e-02 2.510692611060455448e+01 2.000000000000000000e+01
2.100000000000000000e+01 5.937499999999999722e-02 2.597896080778178174e+01 2.100000000000000000e+01
2.200000000000000000e+01 6.067129629629630649e-02 2.646803546810987839e+01 2.200000000000000000e+01
2.300000000000000000e+01 6.219907407407399696e-02 2.704362284473841882e+01 2.300000000000000000e+01
2.400000000000000000e+01 6.326388888888880013e-02 2.744453569389805381e+01 2.400000000000000000e+01
2.500000000000000000e+01 6.670138888888889339e-02 2.873256956081182167e+01 2.500000000000000000e+01
2.600000000000000000e+01 6.947916666666660579e-02 2.976805516963489140e+01 2.600000000000000000e+01
2.700000000000000000e+01 7.010416666666660634e-02 3.000049472088331015e+01 2.700000000000000000e+01
